sale_id,product_category,price_usd,customer_age,customer_loyalty_years,region,sales_channel,season,discount_applied,sale_success
SALE-00046,Sparkling Wine,52.86,62,3,West,Online,Winter,1,1
SALE-00047,Sparkling Wine,149.82,24,5,South,Online,Autumn,1,1
SALE-00048,Sparkling Wine,23.57,79,7,South,Physical Store,Summer,1,1
SALE-00049,White Wine,30.98,42,9,West,Physical Store,Autumn,1,0
SALE-00050,Rose Wine,69.3,74,5,North,Online,Summer,1,1
SALE-00051,Sparkling Wine,91.56,54,6,South,Online,Summer,0,1
SALE-00052,Rose Wine,24.73,80,1,West,Online,Summer,0,0
SALE-00053,Rose Wine,62.68,28,12,North,Online,Winter,1,1
SALE-00054,White Wine,93.05,64,13,West,Online,Winter,0,1
SALE-00055,White Wine,131.29,77,13,North,Online,Summer,1,1
SALE-00056,White Wine,85.6,55,11,West,Physical Store,Spring,1,1
SALE-00057,Sparkling Wine,15.2,67,7,South,Physical Store,Summer,0,1
SALE-00058,Rose Wine,26.18,38,10,West,Physical Store,Winter,1,1
SALE-00059,Sparkling Wine,25.45,40,11,South,Online,Autumn,1,1
SALE-00060,Rose Wine,134.44,57,7,West,Online,Summer,0,0
SALE-00061,White Wine,52.09,69,6,East,Online,Autumn,0,0
SALE-00062,Red Wine,81.38,39,9,South,Online,Winter,0,1
SALE-00063,Red Wine,126.07,56,5,East,Online,Spring,1,0
SALE-00064,Rose Wine,39.53,79,7,West,Physical Store,Autumn,1,0
SALE-00065,White Wine,134.59,36,15,East,Physical Store,Winter,1,1
SALE-00066,White Wine,82.41,35,10,West,Physical Store,Summer,1,1
SALE-00067,Sparkling Wine,94.14,59,15,West,Physical Store,Autumn,1,1
SALE-00068,Red Wine,44.29,51,5,East,Online,Summer,0,0
SALE-00069,Rose Wine,105.95,66,12,West,Online,Autumn,1,1
SALE-00070,White Wine,93.19,24,14,North,Online,Summer,0,0
SALE-00071,Sparkling Wine,71.23,30,3,South,Online,Autumn,0,0
SALE-00072,Red Wine,87.04,40,14,West,Physical Store,Autumn,0,0
SALE-00073,Sparkling Wine,120.61,21,12,East,Online,Winter,1,1
SALE-00074,Sparkling Wine,69.32,49,12,West,Physical Store,Winter,0,1
SALE-00075,Red Wine,24.57,59,2,West,Physical Store,Autumn,1,0
SALE-00076,White Wine,74.43,43,12,South,Physical Store,Spring,0,0
SALE-00077,Rose Wine,145.78,74,3,South,Online,Summer,0,0
SALE-00078,Rose Wine,42.17,33,12,West,Online,Spring,1,1
SALE-00079,Red Wine,34.1,46,8,South,Physical Store,Spring,0,1
SALE-00080,Red Wine,98.49,68,8,North,Physical Store,Spring,1,1
SALE-00081,White Wine,21.86,31,1,South,Online,Autumn,0,0
SALE-00082,Red Wine,71.11,40,5,West,Online,Autumn,1,1
SALE-00083,Rose Wine,134.41,52,1,North,Physical Store,Autumn,0,0
SALE-00084,Rose Wine,22.46,47,14,South,Online,Winter,1,1
SALE-00085,White Wine,49.03,48,6,South,Physical Store,Autumn,0,0
SALE-00086,Rose Wine,76.05,45,7,South,Online,Autumn,1,1
SALE-00087,Rose Wine,47.58,42,4,North,Physical Store,Spring,0,0
SALE-00088,Red Wine,107.67,33,9,North,Physical Store,Winter,0,1
SALE-00089,Rose Wine,147.84,24,12,West,Physical Store,Summer,0,0
SALE-00090,Sparkling Wine,108.75,32,14,East,Physical Store,Summer,1,1
SALE-00091,White Wine,64.11,73,14,West,Physical Store,Summer,1,1
SALE-00092,Sparkling Wine,87.04,67,10,North,Online,Spring,1,1
SALE-00093,White Wine,60.37,31,8,North,Physical Store,Autumn,1,1
SALE-00094,Rose Wine,72.91,70,14,East,Online,Summer,1,1
SALE-00095,Red Wine,44.65,32,6,South,Physical Store,Spring,1,1
SALE-00096,Sparkling Wine,26.4,42,0,South,Online,Spring,0,0
SALE-00097,White Wine,126.57,33,13,North,Physical Store,Autumn,0,0
SALE-00098,White Wine,130.52,42,5,North,Online,Winter,0,0
SALE-00099,White Wine,125.63,62,12,North,Online,Spring,1,1
SALE-00100,Rose Wine,38.77,80,1,North,Physical Store,Winter,1,1
SALE-00101,Red Wine,125.46,58,4,West,Physical Store,Summer,1,0
SALE-00102,Red Wine,54.42,40,0,South,Online,Autumn,1,1
SALE-00103,Red Wine,60.91,40,13,East,Physical Store,Autumn,0,1
SALE-00104,Sparkling Wine,89.39,76,1,North,Physical Store,Summer,0,0
SALE-00105,White Wine,126.49,43,1,East,Physical Store,Winter,1,1
SALE-00106,White Wine,124.45,51,10,North,Online,Spring,0,0
SALE-00107,Red Wine,98.16,67,7,East,Physical Store,Spring,0,0
SALE-00108,Red Wine,26.24,21,10,West,Online,Summer,0,1
SALE-00109,Sparkling Wine,83.49,78,11,West,Online,Spring,0,1
SALE-00110,Red Wine,23.8,23,8,East,Online,Autumn,0,1
SALE-00111,Rose Wine,15.39,70,14,South,Online,Winter,1,1
SALE-00112,White Wine,133.22,69,4,East,Physical Store,Winter,0,0
SALE-00113,Red Wine,61.0,45,0,East,Online,Autumn,1,0
SALE-00114,Rose Wine,125.44,72,7,North,Physical Store,Summer,0,1
SALE-00115,Sparkling Wine,96.09,34,4,South,Physical Store,Summer,0,0
SALE-00116,Red Wine,144.86,76,0,South,Online,Autumn,1,1
SALE-00117,Sparkling Wine,50.79,47,13,North,Online,Summer,1,1
SALE-00118,White Wine,53.32,38,8,North,Online,Winter,0,0
SALE-00119,White Wine,99.29,40,14,West,Physical Store,Summer,0,1
SALE-00120,Rose Wine,117.67,64,8,West,Online,Spring,1,1
SALE-00121,Rose Wine,110.62,23,10,West,Physical Store,Winter,1,1
SALE-00122,Rose Wine,93.31,68,13,West,Online,Autumn,1,0
SALE-00123,White Wine,139.68,77,11,East,Online,Winter,1,1
SALE-00124,Red Wine,111.57,78,1,West,Online,Summer,0,0
SALE-00125,White Wine,51.31,69,0,West,Online,Summer,1,0
SALE-00126,White Wine,116.64,23,2,East,Online,Autumn,0,1
SALE-00127,White Wine,28.74,45,7,North,Physical Store,Winter,1,1
SALE-00128,Red Wine,75.01,42,13,West,Physical Store,Summer,1,1
SALE-00129,White Wine,138.53,66,14,East,Online,Autumn,0,1
SALE-00130,Rose Wine,97.56,24,4,West,Online,Summer,1,1
SALE-00131,Red Wine,24.37,75,3,North,Physical Store,Winter,0,1
SALE-00132,White Wine,62.93,37,7,North,Online,Spring,1,1
SALE-00133,Rose Wine,65.15,69,6,South,Physical Store,Winter,0,0
SALE-00134,Rose Wine,22.5,36,8,West,Physical Store,Winter,1,1
SALE-00135,Red Wine,42.34,61,12,South,Online,Summer,1,1
SALE-00136,Sparkling Wine,46.24,37,0,West,Online,Autumn,1,1
SALE-00137,White Wine,149.91,42,9,South,Physical Store,Summer,1,1
SALE-00138,White Wine,30.91,28,11,West,Online,Autumn,1,1
SALE-00139,Red Wine,18.94,67,0,South,Physical Store,Summer,0,1
SALE-00140,Rose Wine,48.92,50,9,East,Physical Store,Summer,1,1
SALE-00141,Sparkling Wine,73.52,73,3,South,Physical Store,Spring,1,1
SALE-00142,Rose Wine,100.89,60,15,West,Online,Autumn,1,0
SALE-00143,Rose Wine,98.71,44,4,North,Online,Summer,1,1
SALE-00144,Sparkling Wine,77.38,40,2,West,Physical Store,Autumn,1,0
SALE-00145,Sparkling Wine,21.77,46,0,West,Physical Store,Autumn,1,1
SALE-00146,Sparkling Wine,41.56,51,5,South,Online,Spring,0,1
SALE-00147,Rose Wine,144.76,22,9,West,Physical Store,Summer,1,1
SALE-00148,Rose Wine,139.15,21,7,South,Online,Summer,0,0
SALE-00149,Rose Wine,139.85,56,9,South,Physical Store,Spring,1,0
SALE-00150,White Wine,34.36,67,0,North,Physical Store,Winter,0,1
SALE-00151,Sparkling Wine,42.17,58,4,South,Online,Spring,1,1
SALE-00152,Rose Wine,59.13,29,14,East,Online,Spring,1,1
SALE-00153,Rose Wine,27.82,34,11,South,Online,Summer,0,1
SALE-00154,Sparkling Wine,102.93,49,1,South,Online,Autumn,0,0
SALE-00155,Sparkling Wine,139.6,58,0,North,Physical Store,Spring,0,0
SALE-00156,Rose Wine,86.17,44,10,West,Online,Winter,1,0
SALE-00157,White Wine,28.14,44,2,West,Online,Spring,1,1
SALE-00158,Rose Wine,141.79,60,11,North,Online,Summer,0,0
SALE-00159,Sparkling Wine,75.6,37,11,West,Online,Autumn,1,1
SALE-00160,Sparkling Wine,137.9,45,0,South,Online,Spring,0,1
SALE-00161,White Wine,115.62,49,15,East,Online,Winter,1,1
SALE-00162,Sparkling Wine,49.83,50,4,South,Physical Store,Winter,0,1
SALE-00163,Red Wine,110.98,23,9,North,Physical Store,Summer,1,1
SALE-00164,White Wine,15.38,80,2,South,Physical Store,Autumn,0,0
SALE-00165,Red Wine,68.34,44,15,West,Physical Store,Spring,1,1
SALE-00166,Sparkling Wine,35.92,59,15,West,Online,Spring,0,1
SALE-00167,White Wine,139.23,36,4,North,Online,Winter,1,1
SALE-00168,Red Wine,141.93,49,13,South,Physical Store,Autumn,1,0
SALE-00169,Sparkling Wine,110.36,69,15,East,Physical Store,Winter,1,1
SALE-00170,Sparkling Wine,81.21,58,0,East,Physical Store,Summer,0,1
SALE-00171,Sparkling Wine,27.69,56,3,West,Physical Store,Summer,1,0
SALE-00172,Red Wine,116.98,23,7,East,Online,Winter,0,1
SALE-00173,Red Wine,146.84,36,11,East,Online,Summer,1,1
SALE-00174,Rose Wine,35.04,25,8,South,Physical Store,Winter,1,1
SALE-00175,Sparkling Wine,76.62,37,11,North,Online,Winter,1,1
SALE-00176,Rose Wine,69.37,43,2,South,Physical Store,Summer,1,0
SALE-00177,White Wine,84.94,55,11,South,Physical Store,Spring,0,1
SALE-00178,Rose Wine,63.84,29,2,East,Online,Winter,0,1
SALE-00179,Sparkling Wine,38.32,48,9,South,Physical Store,Spring,0,1
SALE-00180,Sparkling Wine,66.49,24,4,South,Physical Store,Spring,0,1
SALE-00181,White Wine,76.93,62,6,West,Physical Store,Autumn,1,0
SALE-00182,White Wine,77.91,69,4,West,Physical Store,Summer,1,1
SALE-00183,Sparkling Wine,54.93,68,10,West,Online,Summer,1,1
SALE-00184,Red Wine,43.08,30,9,North,Physical Store,Spring,1,1
SALE-00185,Red Wine,55.24,77,7,East,Online,Autumn,1,1
SALE-00186,Sparkling Wine,97.63,78,11,South,Physical Store,Winter,1,0
SALE-00187,Sparkling Wine,65.19,57,11,North,Physical Store,Autumn,0,1
SALE-00188,Sparkling Wine,117.65,48,6,South,Physical Store,Winter,0,0
SALE-00189,White Wine,91.21,21,11,West,Online,Winter,1,1
SALE-00190,Sparkling Wine,99.1,78,13,East,Online,Autumn,1,1
SALE-00191,Red Wine,94.09,55,11,East,Physical Store,Spring,1,1
SALE-00192,Sparkling Wine,58.87,70,7,East,Online,Autumn,1,0
SALE-00193,Red Wine,23.67,33,7,South,Online,Winter,0,1
SALE-00194,White Wine,36.48,21,7,West,Online,Winter,1,0
SALE-00195,Sparkling Wine,86.71,27,5,North,Physical Store,Autumn,1,1
SALE-00196,Sparkling Wine,34.01,70,11,North,Online,Spring,1,1
SALE-00197,Sparkling Wine,57.43,40,14,East,Physical Store,Spring,0,1
SALE-00198,White Wine,42.82,39,8,North,Online,Winter,0,1
SALE-00199,Rose Wine,110.16,39,4,East,Online,Winter,0,1
SALE-00200,Rose Wine,141.6,36,11,South,Physical Store,Spring,1,0
SALE-00201,Rose Wine,118.87,43,2,North,Physical Store,Summer,0,0
SALE-00202,Rose Wine,21.3,53,0,South,Physical Store,Summer,0,0
SALE-00203,White Wine,83.38,61,13,East,Physical Store,Autumn,0,1
SALE-00204,Rose Wine,74.91,77,4,South,Physical Store,Autumn,1,0
SALE-00205,Sparkling Wine,100.88,66,2,East,Online,Winter,0,0
SALE-00206,Red Wine,119.69,57,9,West,Physical Store,Autumn,0,1
SALE-00207,Rose Wine,90.33,76,4,North,Physical Store,Winter,0,0
SALE-00208,Sparkling Wine,54.21,48,8,West,Online,Summer,1,0
SALE-00209,Rose Wine,101.56,57,8,West,Physical Store,Summer,1,1
SALE-00210,White Wine,19.91,32,11,South,Physical Store,Spring,0,1
SALE-00211,White Wine,54.02,53,11,East,Online,Autumn,1,1
SALE-00212,Sparkling Wine,38.69,45,3,East,Physical Store,Spring,1,1
SALE-00213,Sparkling Wine,145.72,40,1,South,Physical Store,Winter,1,1
SALE-00214,White Wine,31.51,66,0,North,Online,Autumn,0,1
SALE-00215,Red Wine,48.98,80,5,North,Physical Store,Summer,0,0
SALE-00216,Rose Wine,95.74,79,8,South,Online,Winter,1,1
SALE-00217,White Wine,111.46,62,15,East,Physical Store,Winter,1,0
SALE-00218,Rose Wine,64.83,27,5,South,Online,Spring,0,0
SALE-00219,Red Wine,82.96,73,14,East,Physical Store,Autumn,1,1
SALE-00220,White Wine,117.01,30,13,East,Physical Store,Winter,0,1
SALE-00221,Sparkling Wine,110.57,73,15,East,Physical Store,Summer,1,1
SALE-00222,Sparkling Wine,116.15,37,4,South,Physical Store,Summer,0,0
SALE-00223,Sparkling Wine,41.63,54,8,North,Physical Store,Autumn,1,1
SALE-00224,Red Wine,87.62,69,10,West,Online,Winter,1,1
SALE-00225,White Wine,132.02,25,5,East,Online,Spring,1,0
SALE-00226,Sparkling Wine,87.27,78,15,West,Online,Winter,1,1
SALE-00227,Sparkling Wine,46.26,37,13,East,Physical Store,Spring,1,1
SALE-00228,White Wine,113.5,32,7,West,Online,Autumn,1,1
SALE-00229,Red Wine,146.47,66,14,North,Online,Autumn,1,1
SALE-00230,Sparkling Wine,86.53,46,2,West,Online,Spring,1,1
SALE-00231,Red Wine,123.72,58,12,East,Physical Store,Summer,0,0
SALE-00232,Red Wine,149.77,45,12,North,Online,Spring,1,0
SALE-00233,Red Wine,33.61,52,15,North,Physical Store,Spring,1,1
SALE-00234,Sparkling Wine,15.58,47,8,East,Online,Autumn,1,1
SALE-00235,Rose Wine,65.84,30,15,East,Physical Store,Spring,0,1
SALE-00236,Sparkling Wine,106.82,64,9,North,Physical Store,Autumn,1,0
SALE-00237,White Wine,60.8,34,4,South,Online,Winter,0,1
SALE-00238,Rose Wine,141.73,71,5,North,Online,Autumn,1,1
SALE-00239,Red Wine,51.36,57,4,West,Online,Autumn,0,0
SALE-00240,Rose Wine,90.4,70,9,West,Physical Store,Spring,0,1
SALE-00241,White Wine,77.59,69,13,West,Physical Store,Autumn,1,1
SALE-00242,Red Wine,21.48,38,0,West,Physical Store,Winter,1,1
SALE-00243,Red Wine,53.7,75,15,East,Online,Winter,1,1
SALE-00244,Red Wine,52.46,79,14,South,Physical Store,Winter,1,0
SALE-00245,Sparkling Wine,57.07,36,11,North,Physical Store,Summer,1,1
SALE-00246,Rose Wine,44.42,42,5,South,Physical Store,Summer,1,1
SALE-00247,Sparkling Wine,25.12,46,11,North,Physical Store,Autumn,0,0
SALE-00248,Red Wine,74.48,29,14,North,Online,Spring,1,1
SALE-00249,Rose Wine,71.99,42,9,South,Online,Spring,0,1
SALE-00250,Sparkling Wine,145.05,44,7,North,Online,Spring,0,0
SALE-00251,Red Wine,100.25,28,0,North,Physical Store,Winter,1,0
SALE-00252,White Wine,16.35,73,12,East,Physical Store,Autumn,0,1
SALE-00253,Sparkling Wine,42.5,21,9,East,Physical Store,Winter,1,1
SALE-00254,Sparkling Wine,33.95,42,7,South,Online,Autumn,1,1
SALE-00255,Rose Wine,122.28,53,2,South,Online,Winter,0,1
SALE-00256,Red Wine,121.69,52,13,East,Online,Autumn,0,0
SALE-00257,White Wine,125.3,28,10,North,Physical Store,Autumn,0,0
SALE-00258,Sparkling Wine,109.54,63,4,South,Physical Store,Summer,1,1
SALE-00259,Rose Wine,48.02,45,15,East,Physical Store,Summer,0,0
SALE-00260,White Wine,23.72,45,15,East,Online,Spring,1,1
SALE-00261,Red Wine,37.05,51,6,South,Physical Store,Autumn,0,1
SALE-00262,Sparkling Wine,91.2,70,11,South,Physical Store,Autumn,1,1
SALE-00263,Sparkling Wine,145.73,37,5,North,Online,Spring,0,0
SALE-00264,Sparkling Wine,72.73,66,7,South,Online,Winter,0,1
SALE-00265,White Wine,105.65,61,4,East,Physical Store,Autumn,1,1
SALE-00266,White Wine,96.47,57,0,East,Physical Store,Autumn,0,1
SALE-00267,Sparkling Wine,123.21,50,7,West,Online,Winter,1,1
SALE-00268,Rose Wine,70.56,68,15,North,Physical Store,Spring,1,1
SALE-00269,Red Wine,144.17,64,12,East,Physical Store,Spring,0,0
SALE-00270,White Wine,59.44,27,1,East,Physical Store,Spring,1,0
SALE-00271,Sparkling Wine,59.39,22,2,West,Online,Winter,0,0
SALE-00272,Red Wine,141.92,23,4,South,Online,Summer,1,0
SALE-00273,White Wine,83.72,57,4,South,Physical Store,Winter,1,0
SALE-00274,Red Wine,140.35,40,2,West,Online,Summer,0,0
SALE-00275,Sparkling Wine,103.44,33,12,West,Physical Store,Summer,0,1
SALE-00276,Sparkling Wine,75.97,35,6,East,Physical Store,Autumn,1,1
SALE-00277,White Wine,18.75,34,5,South,Online,Autumn,0,1
SALE-00278,Rose Wine,37.8,39,2,North,Online,Summer,0,0
SALE-00279,White Wine,72.22,38,0,North,Physical Store,Spring,0,0
SALE-00280,White Wine,81.66,63,3,West,Physical Store,Winter,0,1
SALE-00281,Sparkling Wine,50.39,72,13,West,Online,Winter,1,1
SALE-00282,Rose Wine,87.52,22,0,West,Online,Winter,0,0
SALE-00283,Red Wine,121.11,38,8,East,Physical Store,Spring,0,1
SALE-00284,Sparkling Wine,27.35,65,14,West,Online,Autumn,1,0
SALE-00285,Rose Wine,126.04,46,5,North,Online,Autumn,0,0
SALE-00286,Red Wine,94.47,61,4,East,Physical Store,Winter,0,1
SALE-00287,Rose Wine,137.59,80,7,East,Physical Store,Winter,0,0
SALE-00288,White Wine,96.82,33,4,West,Online,Summer,1,1
SALE-00289,Red Wine,27.58,27,4,North,Online,Winter,0,1
SALE-00290,Red Wine,109.42,65,3,South,Physical Store,Winter,1,1
SALE-00291,White Wine,130.06,41,15,North,Online,Winter,1,1
SALE-00292,Red Wine,90.79,58,4,North,Physical Store,Spring,1,1
SALE-00293,Red Wine,37.65,46,15,North,Online,Spring,1,1
SALE-00294,Rose Wine,73.29,77,7,West,Physical Store,Spring,0,1
SALE-00295,Sparkling Wine,16.75,68,10,North,Physical Store,Summer,1,1
SALE-00296,Red Wine,72.66,78,10,South,Physical Store,Winter,1,1
SALE-00297,White Wine,55.41,78,5,West,Physical Store,Spring,0,1
SALE-00298,White Wine,56.0,57,9,South,Online,Autumn,1,1
SALE-00299,Rose Wine,15.38,80,0,West,Online,Summer,0,0
SALE-00300,Rose Wine,81.49,43,14,West,Online,Summer,1,1
SALE-00301,Red Wine,42.27,64,14,East,Online,Summer,1,1
SALE-00302,Sparkling Wine,140.88,61,1,East,Online,Winter,0,0
SALE-00303,Rose Wine,123.59,61,1,East,Online,Autumn,0,0
SALE-00304,Red Wine,60.7,46,10,East,Physical Store,Summer,1,1
SALE-00305,White Wine,36.75,33,2,South,Online,Winter,0,0
SALE-00306,White Wine,127.86,75,12,South,Online,Summer,1,0
SALE-00307,White Wine,38.37,36,7,West,Online,Summer,1,1
SALE-00308,Sparkling Wine,124.97,53,1,East,Online,Autumn,1,1
SALE-00309,Sparkling Wine,127.91,42,9,North,Physical Store,Autumn,0,0
SALE-00310,Red Wine,91.06,65,4,North,Physical Store,Autumn,0,1
SALE-00311,Sparkling Wine,141.16,64,14,West,Online,Autumn,1,0
SALE-00312,White Wine,110.28,42,3,West,Online,Summer,0,1
SALE-00313,Red Wine,123.01,76,3,East,Online,Summer,0,0
SALE-00314,Red Wine,83.34,70,6,North,Physical Store,Winter,1,1
SALE-00315,Red Wine,149.8,52,11,East,Online,Winter,1,1
SALE-00316,Sparkling Wine,85.04,62,4,South,Online,Spring,0,0
SALE-00317,Rose Wine,138.6,45,15,South,Physical Store,Winter,1,0
SALE-00318,Red Wine,137.67,23,7,East,Online,Spring,0,0
SALE-00319,White Wine,141.99,78,0,South,Physical Store,Autumn,0,0
SALE-00320,Sparkling Wine,43.7,65,8,West,Online,Winter,0,0
SALE-00321,Rose Wine,133.32,74,7,North,Physical Store,Summer,1,1
SALE-00322,Rose Wine,69.41,25,12,West,Physical Store,Autumn,0,0
SALE-00323,White Wine,93.88,31,15,East,Online,Autumn,0,0
SALE-00324,Sparkling Wine,115.71,44,9,South,Online,Spring,1,1
SALE-00325,Rose Wine,77.89,25,5,West,Physical Store,Summer,1,0
SALE-00326,Red Wine,113.02,28,5,West,Online,Spring,1,1
SALE-00327,Rose Wine,69.06,67,8,East,Physical Store,Summer,0,0
SALE-00328,Rose Wine,114.4,53,11,West,Physical Store,Winter,0,0
SALE-00329,Rose Wine,20.43,27,4,East,Physical Store,Winter,1,0
SALE-00330,Red Wine,128.32,75,13,East,Online,Autumn,0,0
SALE-00331,White Wine,117.52,47,1,West,Physical Store,Spring,1,1
SALE-00332,White Wine,32.65,77,7,South,Physical Store,Winter,1,1
SALE-00333,Rose Wine,36.82,36,8,South,Online,Winter,1,1
SALE-00334,White Wine,27.32,30,0,East,Physical Store,Winter,1,1
SALE-00335,Red Wine,64.0,65,13,West,Online,Summer,1,1
SALE-00336,Rose Wine,43.7,40,14,North,Online,Spring,0,1
SALE-00337,Rose Wine,124.14,67,12,West,Online,Autumn,1,1
SALE-00338,White Wine,30.46,60,5,West,Physical Store,Autumn,0,0
SALE-00339,Sparkling Wine,136.52,39,4,West,Physical Store,Winter,0,1
SALE-00340,White Wine,93.7,68,5,North,Online,Summer,1,1
SALE-00341,Rose Wine,32.3,61,10,South,Physical Store,Autumn,0,1
SALE-00342,Sparkling Wine,43.37,63,9,South,Physical Store,Winter,1,1
SALE-00343,White Wine,64.56,40,5,West,Online,Winter,0,1
SALE-00344,Sparkling Wine,64.83,38,4,South,Online,Summer,0,1
SALE-00345,Red Wine,106.39,46,3,West,Physical Store,Winter,1,1
SALE-00346,Sparkling Wine,132.14,42,3,West,Online,Summer,1,1
SALE-00347,White Wine,129.86,41,14,South,Online,Spring,1,1
SALE-00348,White Wine,112.42,33,10,South,Physical Store,Winter,0,0
SALE-00349,Rose Wine,104.09,51,7,West,Online,Summer,0,1
SALE-00350,Sparkling Wine,79.72,72,7,North,Physical Store,Winter,0,0
SALE-00351,Rose Wine,128.57,80,4,North,Physical Store,Summer,0,0
SALE-00352,Sparkling Wine,137.42,46,2,North,Online,Spring,1,0
SALE-00353,White Wine,15.96,26,5,South,Physical Store,Summer,0,0
SALE-00354,White Wine,36.43,53,9,North,Physical Store,Autumn,0,1
SALE-00355,Sparkling Wine,87.61,34,13,West,Physical Store,Autumn,1,1
SALE-00356,Rose Wine,54.38,23,6,East,Online,Winter,0,0
SALE-00357,Sparkling Wine,109.13,32,15,South,Physical Store,Spring,1,1
SALE-00358,Red Wine,101.15,68,0,North,Online,Winter,1,1
SALE-00359,Sparkling Wine,37.45,76,0,North,Physical Store,Winter,0,0
SALE-00360,Sparkling Wine,47.03,23,0,West,Physical Store,Winter,0,1
SALE-00361,Sparkling Wine,55.35,76,11,West,Physical Store,Spring,1,1
SALE-00362,Red Wine,23.29,79,10,North,Physical Store,Winter,0,1
SALE-00363,Rose Wine,98.64,62,3,West,Physical Store,Winter,0,0
SALE-00364,Red Wine,111.62,47,10,East,Online,Spring,0,0
SALE-00365,White Wine,126.29,61,8,West,Online,Autumn,0,0
SALE-00366,Red Wine,141.62,73,12,West,Physical Store,Spring,1,1
SALE-00367,White Wine,20.27,78,8,West,Physical Store,Winter,0,1
SALE-00368,Sparkling Wine,83.6,53,11,North,Online,Summer,0,1
SALE-00369,White Wine,142.68,43,8,North,Physical Store,Spring,1,1
SALE-00370,Rose Wine,49.31,26,0,South,Online,Winter,1,0
SALE-00371,White Wine,95.2,60,12,West,Physical Store,Autumn,1,0
SALE-00372,Sparkling Wine,142.82,59,0,East,Online,Spring,1,1
SALE-00373,White Wine,104.56,57,10,South,Physical Store,Summer,1,1
SALE-00374,Rose Wine,16.59,47,12,West,Online,Winter,0,0
SALE-00375,Sparkling Wine,31.05,71,13,West,Online,Spring,0,1
SALE-00376,Rose Wine,106.92,52,10,North,Physical Store,Summer,0,1
SALE-00377,Rose Wine,79.8,44,9,East,Online,Winter,0,0
SALE-00378,White Wine,112.21,21,5,North,Physical Store,Winter,1,0
SALE-00379,Rose Wine,15.41,34,4,West,Online,Autumn,1,1
